,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Position
11175,P. Breitkreuz,26,Germany,64,65,FC Würzburger Kickers,€550K,€2K,ST
11176,K. Rendón,25,Colombia,64,69,Itagüí Leones FC,€600K,€1K,CM
11177,M. Lüftner,24,Czech Republic,64,68,FC København,€500K,€4K,CB
11178,J. Mårtensson,29,Sweden,64,64,Örebro SK,€425K,€2K,RCM
11179,A. Bernede,19,France,64,75,Paris Saint-Germain,€750K,€6K,CAM
11180,R. Iio,27,Japan,64,64,V-Varen Nagasaki,€475K,€1K,RM
11181,A. Zamora,26,Mexico,64,65,Puebla FC,€450K,€2K,CB
11182,S. Rudol,23,Poland,64,69,Pogo? Szczecin,€500K,€1K,CB
11183,S. Tanabe,28,Japan,64,64,FC Tokyo,€450K,€3K,LM
11184,J. Clarke,23,England,64,68,Brentford,€500K,€7K,RB
11185,D. Hofbauer,27,Austria,64,64,SKN St. Pölten,€475K,€4K,CM
11186,M. Cebula,22,Poland,64,70,Korona Kielce,€625K,€1K,CAM
11187,K. Baccus,26,Australia,64,64,Melbourne City FC,€400K,€3K,CDM
11188,K. ?widerski,21,Poland,64,74,Jagiellonia Bia?ystok,€750K,€2K,ST
11189,Romera,30,Spain,64,64,UD Almería,€325K,€2K,RB
11190,G. Álvarez,26,Bolivia,64,67,Al Hazem,€575K,€3K,ST
11191,M. Meilinger,26,Austria,64,64,SCR Altach,€475K,€3K,RM
11192,M. Wieteska,21,Poland,64,72,Legia Warszawa,€575K,€2K,CB
11193,Allef,23,Brazil,64,69,Vitória de Setúbal,€625K,€2K,ST
11194,L. Gonnelli,25,Italy,64,70,Livorno,€525K,€1K,CB
11195,Y. Demoncy,22,France,64,72,US Orléans Loiret Football,€575K,€1K,CDM
11196,N. Knight-Percival,31,England,64,64,Bradford City,€300K,€3K,LCB
11197,R. Allen,28,United States,64,64,Orlando City SC,€350K,€2K,RB
11198,Bruno Silva,25,Brazil,64,67,Moreirense FC,€475K,€1K,LB
11199,D. Peri?,23,Croatia,64,69,Dinamo Zagreb,€500K,€1K,CB
11200,G. Martínez,29,Chile,64,64,San Luis de Quillota,€450K,€1K,ST
11201,Cho Suk Jae,25,Korea Republic,64,67,Daegu FC,€575K,€2K,ST
11202,J. García,29,Colombia,64,64,La Equidad,€350K,€1K,RCB
11203,F. Hormazábal,22,Chile,64,75,CD O'Higgins,€775K,€2K,RW
11204,D. Perquis,34,Poland,64,64,GFC Ajaccio,€140K,€1K,CB
11205,S. Piesinger,26,Austria,64,64,SCR Altach,€400K,€3K,CDM
11206,F. Woodman,21,England,64,78,Newcastle United,€825K,€5K,GK
11207,T. Amang,20,Cameroon,64,76,Molde FK,€825K,€2K,ST
11208,H. Delbridge,26,Australia,64,65,Melbourne City FC,€450K,€3K,LCB
11209,M. Pedersen,28,Denmark,64,64,SønderjyskE,€375K,€3K,RCB
11210,C. Smith,22,Scotland,64,69,St. Mirren,€600K,€2K,CAM
11211,C. Nielsen,24,Denmark,64,67,Odense Boldklub,€575K,€3K,CM
11212,Z. Sanogo,21,Burkina Faso,64,74,TSV Hartberg,€750K,€2K,CF
11213,H. Weigelt,20,Germany,64,76,AZ Alkmaar,€725K,€2K,CB
11214,Kim Soo Beom,27,Korea Republic,64,64,Jeju United FC,€375K,€2K,LB
11215,A. Gilliead,22,England,64,74,Shrewsbury,€725K,€2K,LM
11216,J. Aigner,37,Austria,64,64,SCR Altach,€160K,€3K,ST
11217,P. Ceccaroni,22,Italy,64,70,Padova,€525K,€1K,CB
11218,O. Aydo?an,21,Germany,64,69,Be?ikta? JK,€600K,€7K,CAM
11219,Hong Jeong Un,23,Korea Republic,64,72,Daegu FC,€575K,€1K,LCB
11220,M. Soisalo,20,Finland,64,75,SV Zulte-Waregem,€775K,€3K,RM
11221,G. Loiacono,26,Italy,64,64,Foggia,€400K,€1K,CB
11222,J. Aguirre,21,Colombia,64,72,Itagüí Leones FC,€575K,€1K,LCB
11223,Tiago Marques,30,Brazil,64,64,Jeju United FC,€425K,€2K,ST
11224,M. Pietrowski,30,Poland,64,64,Piast Gliwice,€325K,€2K,LB
11225,J. Laursen,23,Denmark,64,71,Odense Boldklub,€525K,€3K,LWB
11226,A. Tanaka,30,Japan,64,64,Cerezo Osaka,€425K,€2K,CAM
11227,J. Goitia,23,Argentina,64,71,San Martín de San Juan,€525K,€3K,RB
11228,J. Thiaré,25,Senegal,64,69,Le Havre AC,€600K,€2K,ST
11229,A. Monsecour,22,Belgium,64,71,Sporting Lokeren,€550K,€3K,CB
11230,D. Niepsuj,22,Poland,64,71,Pogo? Szczecin,€525K,€1K,RB
11231,F. Henríquez,23,Argentina,64,71,Godoy Cruz,€625K,€3K,CDM
11232,Lucas França,22,Brazil,64,74,CD Nacional,€550K,€2K,GK
11233,F. Kastrati,26,Kosovo,64,65,Kristiansund BK,€550K,€1K,ST
11234,M. Janzer,26,Germany,64,65,Eintracht Braunschweig,€525K,€2K,LM
11235,B. Uaferro,26,Germany,64,67,SC Fortuna Köln,€475K,€1K,RCB
11236,M. Uhre,23,Denmark,64,71,Brøndby IF,€650K,€6K,ST
11237,A. Stølås,29,Norway,64,64,FK Haugesund,€350K,€1K,LB
11238,S. Mallan,22,Scotland,64,75,Hibernian,€750K,€2K,LCM
11239,S. Roa,22,Colombia,64,73,Patriotas Boyacá FC,€600K,€1K,RB
11240,Cho Sung Hwan,36,Korea Republic,64,64,Jeonbuk Hyundai Motors,€60K,€2K,CB
11241,M. Heinloth,26,Germany,64,66,Zag??bie Sosnowiec,€450K,€1K,RB
11242,K. Fisher,24,United States,64,67,Montreal Impact,€475K,€2K,CB
11243,A. Aremu,18,Nigeria,64,78,IK Start,€850K,€1K,RCM
11244,A. Fein,19,Germany,64,79, SSV Jahn Regensburg,€950K,€6K,LDM
11245,R. Bowman,26,England,64,65,Motherwell,€550K,€2K,ST
11246,N. Karger,25,Germany,64,67,TSV 1860 München,€575K,€2K,LW
11247,A. Cicâld?u,20,Romania,64,77,,€ 0,€ 0,CM
11248,D. Osei Yaw,19,France,64,75,Toulouse Football Club,€750K,€3K,RW
11249,M. Naderi,21,Iran,64,73,KV Kortrijk,€600K,€2K,LB
11250,K. Dobras,25,Austria,64,65,SCR Altach,€525K,€3K,LM
11251,I. Faraj,19,France,64,80,LOSC Lille,€975K,€3K,RM
11252,C. Mallace,28,Scotland,64,64,Los Angeles FC,€375K,€2K,CDM
11253,D. Serna,24,United States,64,69,Colorado Rapids,€600K,€2K,CAM
11254,C. Nöthe,30,Germany,64,64,DSC Arminia Bielefeld,€425K,€4K,LM
11255,J. Allansson,25,Sweden,64,67,Randers FC,€550K,€3K,CM
11256,Han Kook Young,28,Korea Republic,64,64,Gangwon FC,€450K,€2K,CM
11257,N. Tripichio,22,Argentina,64,74,Defensa y Justicia,€625K,€2K,RB
11258,A. Walkes,21,England,64,72,Portsmouth,€575K,€2K,RB
11259,A. Dozzell,19,England,64,80,Ipswich Town,€950K,€1K,CM
11260,Kim Dong Suk,31,Korea Republic,64,64,Incheon United FC,€375K,€2K,CM
11261,C. Masuda,33,Japan,64,64,Shimizu S-Pulse,€180K,€1K,CDM
11262,G. Kongshavn,27,Norway,64,65,Tromsø IL,€350K,€1K,GK
11263,S. Neville,29,Australia,64,64,Perth Glory,€350K,€2K,RB
11264,R. Raveloson,21,Madagascar,64,72,ESTAC Troyes,€575K,€1K,CB
11265,T. Kadewere,22,Zimbabwe,64,72,Le Havre AC,€675K,€2K,ST
11266,T. Dieng,26,France,64,66,Southend United,€450K,€2K,CAM
11267,O. Atasayar,23,Turkey,64,72,Bursaspor,€575K,€3K,LB
11268,C. Tilt,26,England,64,67,Blackpool,€475K,€2K,LCB
11269,Álex Centelles,18,Spain,64,77,Valencia CF,€700K,€3K,LB
11270,R. Jackson,27,England,64,64,Colchester United,€375K,€3K,RB
11271,V. Milke,23,Mexico,64,72,Querétaro,€575K,€2K,CB
11272,C. Rojas,32,Chile,64,64,CD Antofagasta,€260K,€1K,CB
11273,Steven Prieto,20,Spain,64,75,Real Oviedo,€775K,€2K,ST
11274,Ko Seul Ki,32,Korea Republic,64,64,Incheon United FC,€260K,€1K,RCM
11275,M. Campos,29,Chile,64,64,Audax Italiano,€350K,€1K,LM
11276,G. Rivas,22,Chile,64,72,San Luis de Quillota,€650K,€1K,CM
11277,Pep Biel,21,Spain,64,72,Real Zaragoza,€650K,€2K,CM
11278,D. Cornelius,20,Canada,64,74,,€ 0,€ 0,CB
11279,F. Darwish,26,Saudi Arabia,64,64,Al Wehda,€375K,€5K,RB
11280,R. Arciero,25,Argentina,64,69,Club Atlético Banfield,€500K,€3K,RB
11281,A. Pinamonti,19,Italy,64,80,Frosinone,€975K,€6K,ST
11282,L. Luna,30,Ecuador,64,64,Independiente Medellín,€325K,€1K,CDM
11283,B. Evans,33,United States,64,64,Sporting Kansas City,€180K,€2K,CB
11284,J. O'Sullivan,24,Republic of Ireland,64,67,Blackpool,€575K,€2K,RM
11285,P. Schorr,23,Germany,64,69,VfR Aalen,€500K,€1K,LM
11286,Kim Shin,23,Korea Republic,64,69,Gyeongnam FC,€625K,€2K,ST
11287,B. Touré,23,Ivory Coast,64,70,Córdoba CF,€600K,€2K,CM
11288,R. Sweeney,21,Republic of Ireland,64,72,Mansfield Town,€575K,€6K,LCB
11289,E. Zambataro,19,Italy,64,74,Padova,€600K,€1K,LB
11290,N. Rasskazov,20,Russia,64,75,Spartak Moscow,€675K,€1K,RB
11291,F. Piovaccari,33,Italy,64,64,Córdoba CF,€280K,€3K,ST
11292,A. Lomovitskiy,20,Russia,64,78,Spartak Moscow,€1M,€1K,RM
11293,Shin Kwang Hoon,31,Korea Republic,64,64,FC Seoul,€300K,€2K,RB
11294,M. Kuttin,24,Austria,64,66,FC Admira Wacker Mödling,€400K,€2K,GK
11295,K. Pallesen,28,Denmark,64,64,Aalborg BK,€350K,€3K,RB
11296,O. Álvarez,23,Colombia,64,72,Patriotas Boyacá FC,€675K,€1K,ST
11297,B. Straetman,20,Belgium,64,73,Sporting Lokeren,€700K,€3K,LM
11298,G. Middleton,18,Scotland,64,84,Rangers FC,€925K,€6K,LW
11299,J. Eskesen,19,Denmark,64,75,Odense Boldklub,€750K,€2K,LCM
11300,Guillem Jaime,19,Spain,64,80,FC Barcelona,€975K,€13K,RW
11301,R. Ranftl,26,Austria,64,65,LASK Linz,€525K,€3K,RM
11302,J. Grant,30,Jamaica,64,64,Plymouth Argyle,€425K,€3K,LM
11303,M. Y?ld?r?m,31,Turkey,64,64,Yeni Malatyaspor,€300K,€3K,LDM
11304,M. Ingebrigtsen,21,Norway,64,73,Tromsø IL,€700K,€1K,RS
11305,N. Bertocchi,29,Argentina,64,64,Club Deportes Temuco,€425K,€1K,CM
11306,A. Camigliano,23,Italy,64,70,Cittadella,€525K,€1K,CB
11307,U. Saltnes,25,Norway,64,67,FK Bodø/Glimt,€550K,€1K,LCM
11308,I. Harkes,23,United States,64,71,DC United,€625K,€2K,CM
11309,D. Kelly,27,Jamaica,64,65,DC United,€525K,€2K,ST
11310,José González,22,Spain,64,73,Granada CF,€675K,€2K,CM
11311,C. Dikamona,28,Congo,64,66,Heart of Midlothian,€425K,€2K,RCB
11312,J. Maurer,29,United States,64,64,FC Dallas,€300K,€2K,GK
11313,A. Morgan,27,Canada,64,64,Toronto FC,€375K,€2K,LB
11314,C. Lustenberger,31,Switzerland,64,64,FC Luzern,€300K,€3K,LB
11315,M. Ngombo,23,Belgium,64,71,Ascoli,€650K,€1K,RS
11316,J. Ibarra,29,Mexico,64,64,Lobos BUAP,€425K,€2K,CM
11317,F. Affolter,27,Switzerland,64,64,San Jose Earthquakes,€375K,€2K,CB
11318,J. Chancellor,26,Venezuela,64,68,,€ 0,€ 0,RCB
11319,L. Mai,18,Germany,64,84,FC Bayern München,€850K,€5K,CB
11320,P. Jerez,33,Chile,64,64,CD Antofagasta,€170K,€1K,LB
11321,A. Al Bishi,24,Saudi Arabia,64,69,Al Faisaly,€600K,€5K,RM
11322,D. Watts,21,Republic of Ireland,64,77,Shamrock Rovers,€875K,€1K,RDM
11323,S. Reyes,20,Mexico,64,78,Monarcas Morelia,€1M,€2K,LW
11324,M. Vitale,20,Italy,64,73,SPAL,€700K,€2K,CM
11325,M. Seegert,24,Germany,64,70,SV Sandhausen,€525K,€1K,CB
11326,D. Lewington,34,England,64,64,Milton Keynes Dons,€130K,€3K,LWB
11327,Fran García,18,Spain,64,79,Real Madrid,€825K,€9K,LB
11328,G. Mebrahtu,27,Australia,64,64,Sparta Praha,€475K,€1K,ST
11329,A. Ponce,21,Venezuela,64,75,,€ 0,€ 0,ST
11330,V. Screciu,18,Romania,64,80,KRC Genk,€850K,€1K,CDM
11331,Mika,21,Portugal,64,74,GD Chaves,€725K,€2K,LW
11332,D. Massey,30,Republic of Ireland,64,64,Dundalk,€325K,€1K,LB
11333,M. O'Hara,22,Scotland,64,72,Peterborough United,€650K,€3K,CM
11334,J. Augustinsson,22,Sweden,64,72,Djurgårdens IF,€575K,€1K,LB
11335,L. Pérez,29,Mexico,64,64,Club Necaxa,€350K,€3K,CDM
11336,Gerard Oliva,28,Spain,64,64,Cracovia,€475K,€2K,ST
11337,J. Hamilton,24,Scotland,64,70,Dundee FC,€450K,€1K,GK
11338,L. McGee,22,England,64,74,Portsmouth,€550K,€2K,GK
11339,T. Alfaro,25,Mexico,64,69,Seattle Sounders FC,€500K,€2K,CB
11340,M. Wagner,31,Germany,64,64,SV Meppen,€400K,€1K,CAM
11341,A. Awaji,28,Saudi Arabia,64,64,Al Ahli,€450K,€8K,LM
11342,M. ?osi?,24,Croatia,64,68,FK Haugesund,€500K,€1K,CB
11343,D. McNeil,18,England,64,79,Burnley,€925K,€5K,LM
11344,P. Charruau,24,France,64,69,Red Star FC,€425K,€1K,GK
11345,S. Sarr,22,Senegal,64,71,FC Lorient,€625K,€1K,CM
11346,T. Pearce,20,England,64,79,Leeds United,€900K,€6K,LB
11347,T. Oakley-Boothe,18,England,64,81,Tottenham Hotspur,€925K,€7K,CM
11348,S. Ichazo,26,Uruguay,64,64,Torino,€325K,€6K,GK
11349,D. Daniels,24,Montserrat,64,69,Blackpool,€500K,€2K,RCB
11350,A. Ariano,27,Panama,64,67,Patriotas Boyacá FC,€450K,€1K,CB
11351,B. Kallman,27,United States,64,66,Minnesota United FC,€450K,€2K,LCB
11352,D. Lovren,19,Croatia,64,81,Fortuna Düsseldorf,€975K,€3K,RM
11353,Li Wei,33,China PR,64,64,Shandong Luneng TaiShan FC,€180K,€4K,CDM
11354,H. Silva,26,Argentina,64,69,Defensa y Justicia,€500K,€3K,CB
11355,K. Coulibaly,25,France,64,66,Willem II,€550K,€2K,LW
11356,J. Deminguet,20,France,64,76,Stade Malherbe Caen,€800K,€4K,CM
11357,J. Mellis,27,England,64,64,Mansfield Town,€475K,€5K,RCM
11358,S. Demhasaj,22,Switzerland,64,75,FC Luzern,€775K,€3K,ST
11359,M. Di Piazza,30,Italy,64,64,Cosenza,€425K,€1K,ST
11360,B. Fernández,26,Colombia,64,66,Deportivo Pasto,€550K,€1K,ST
11361,S. Binakaj,29,Albania,64,64,SG Sonnenhof Großaspach,€450K,€2K,RM
11362,Zhou Haibin,32,China PR,64,64,Shandong Luneng TaiShan FC,€260K,€4K,CDM
11363,S. Leyton,25,Chile,64,69,CD Everton de Viña del Mar,€600K,€1K,CM
11364,C. Dagba,19,France,64,79,Paris Saint-Germain,€875K,€5K,RB
11365,P. Müller,23,Germany,64,68,SC Preußen Münster,€600K,€1K,RM
11366,I. Juki?,22,Croatia,64,70,Korona Kielce,€625K,€1K,LM
11367,K. Zohi,21,Ivory Coast,64,76,RC Strasbourg Alsace,€825K,€3K,ST
11368,S. Jombati,30,Portugal,64,64,Wycombe Wanderers,€325K,€2K,RCB
11369,J. Cox,24,Panama,64,67,América de Cali,€575K,€1K,ST
11370,S. Salinas,32,United States,64,64,San Jose Earthquakes,€250K,€2K,LB
11371,D. Parra,26,Colombia,64,68,Patriotas Boyacá FC,€475K,€1K,CB
11372,Leonardo Freijão,34,Brazil,64,64,Ceará Sporting Club,€140K,€4K,CDM
11373,D. Powell,27,England,64,64,Northampton Town,€475K,€4K,LM
11374,D. Potts,24,England,64,70,Luton Town,€525K,€2K,LB
11375,J. Vidovi?,29,Slovenia,64,65,SV Meppen,€400K,€1K,RCB
11376,O. Sowunmi,22,England,64,69,Yeovil Town,€500K,€2K,RCB
11377,J. Bertilsson,30,Sweden,64,64,Örebro SK,€425K,€2K,RW
11378,J. Bachmann,22,Germany,64,68,FC Würzburger Kickers,€500K,€2K,RDM
11379,P. Heerwagen,35,Germany,64,64,FC Ingolstadt 04,€110K,€3K,GK
11380,B. McNamee,26,Republic of Ireland,64,66,Cork City,€550K,€1K,CAM
11381,J. Aspropotamitis,22,Australia,64,72,Central Coast Mariners,€575K,€1K,CB
11382,M. Pal?i?,25,Slovenia,64,66,Wis?a Kraków,€450K,€2K,RB
11383,M. Risti?,22,Serbia,64,73,Sparta Praha,€600K,€1K,LB
11384,N. Tyson,36,England,64,64,Wycombe Wanderers,€150K,€2K,LW
11385,S. Al Qumayzi,26,Saudi Arabia,64,64,Al Shabab,€375K,€6K,RB
11386,C. Agnelli,32,Italy,64,64,Foggia,€350K,€1K,CM
11387,Lee Sang Heon,20,Korea Republic,64,72,Jeonnam Dragons,€675K,€2K,CF
11388,B. Bronico,23,United States,64,71,Chicago Fire,€625K,€2K,LDM
11389,M. Okugawa,22,Japan,64,72,Holstein Kiel,€675K,€6K,RM
11390,T. Obadeyi,28,England,64,64,FC Sochaux-Montbéliard,€450K,€2K,LM
11391,A. Guira,30,Burkina Faso,64,64,Aarhus GF,€425K,€3K,CDM
11392,Liu Jian,33,China PR,64,64,Beijing Renhe FC,€180K,€3K,CB
11393,C. Wighton,20,Scotland,64,75,Heart of Midlothian,€775K,€2K,ST
11394,Y. Segawa,24,Japan,64,69,Kashiwa Reysol,€625K,€3K,RS
11395,K. Chinen,23,Japan,64,67,Kawasaki Frontale,€575K,€2K,CF
11396,I. Abass,19,Ghana,64,77,1. FSV Mainz 05,€850K,€3K,LW
11397,J. Stacey,22,England,64,74,Luton Town,€625K,€2K,RB
11398,M. Aebischer,21,Switzerland,64,76,BSC Young Boys,€800K,€4K,CM
11399,S. Rakowitz,28,Austria,64,64,FC Wacker Innsbruck,€450K,€3K,RM
11400,Diego Alende,20,Spain,64,74,RC Celta,€650K,€3K,CB
11401,S. Clare,21,England,64,75,Heart of Midlothian,€775K,€2K,CAM
11402,M. Exslager,27,Germany,64,65,SC Fortuna Köln,€525K,€1K,ST
11403,A. Noppert,24,Netherlands,64,69,Foggia,€425K,€1K,GK
11404,Hu Yanqiang,25,China PR,64,67,Beijing Sinobo Guoan FC,€550K,€4K,CM
11405,N. Gil,21,Colombia,64,76,Independiente Santa Fe,€700K,€1K,LB
11406,A. Wordsworth,29,England,64,64,AFC Wimbledon,€425K,€2K,CM
11407,Andújar,26,Spain,64,67,CF Rayo Majadahonda,€475K,€2K,CB
11408,P. Koch,27,Switzerland,64,65,FC St. Gallen,€425K,€3K,RB
11409,G. Puel,26,France,64,65,GFC Ajaccio,€425K,€1K,RB
11410,G. Francomb,26,England,64,64,Crawley Town,€475K,€3K,RM
11411,D. McMillan,29,Republic of Ireland,64,64,St. Johnstone FC,€450K,€2K,ST
11412,A. Flores,27,El Salvador,64,64,Portland Timbers,€475K,€2K,CM
11413,K. Anderson,23,England,64,68,Swindon Town,€600K,€3K,RW
11414,V. De Marco,25,Argentina,64,69,Lech Pozna?,€500K,€2K,CB
11415,Z. Erkilinc,20,Netherlands,64,74,Heracles Almelo,€725K,€2K,LW
11416,Jiang Liang,28,China PR,64,64,Guizhou Hengfeng FC,€350K,€3K,RB
11417,U. Meras,22,Turkey,64,73,Bursaspor,€600K,€3K,LB
11418,E. Johansen,25,Norway,64,68,Sandefjord Fotball,€425K,€1K,GK
11419,O. Threlkeld,24,England,64,68,Waasland-Beveren,€500K,€2K,RB
11420,T. Anderson,24,England,64,69,Doncaster Rovers,€500K,€2K,RCB
11421,F. Moufi,22,Morocco,64,72,CD Tondela,€575K,€1K,RB
11422,R. Williams,19,England,64,79,Manchester United,€875K,€8K,CB
11423,Carlitos,33,Spain,64,64,CF Rayo Majadahonda,€270K,€2K,CAM
11424,E. Iñíguez,21,Argentina,64,74,Club Atlético Aldosivi,€625K,€2K,RB
11425,B. Hušidi?,31,Bosnia Herzegovina,64,64,LA Galaxy,€375K,€2K,CM
11426,S. Longstaff,20,England,64,78,Newcastle United,€975K,€7K,CM
11427,C. Sammon,31,Republic of Ireland,64,64,Motherwell,€400K,€2K,ST
11428,M. Wolfram,21,Germany,64,76,FC Carl Zeiss Jena,€800K,€1K,RM
11429,M. Faško,23,Slovakia,64,70,Eintracht Braunschweig,€525K,€3K,CDM
11430,O. Fane,24,France,64,70,Oldham Athletic,€525K,€3K,CDM
11431,Xesc Regis,21,Spain,64,73,SD Eibar,€700K,€4K,ST
11432,Lu Lin,33,China PR,64,64,Guangzhou R&F; FC,€270K,€4K,LM
11433,F. Markovi?,26,Serbia,64,65,Racing Club de Lens,€525K,€3K,RM
11434,F. Rawson,21,England,64,70,Forest Green Rovers,€525K,€2K,RCB
11435,M. Dauda,20,Ghana,64,75,RSC Anderlecht,€775K,€4K,CF
11436,K. Ward,27,Republic of Ireland,64,64,Bohemian FC,€475K,€1K,CAM
11437,L. Hägg-Johansson,23,Sweden,64,68,Kalmar FF,€425K,€1K,GK
11438,M. Pinto,24,Argentina,64,71,Club Atlético Lanús,€525K,€3K,LB
11439,Song Si Woo,24,Korea Republic,64,67,Sangju Sangmu FC,€575K,€1K,RM
11440,M. Halsti,34,Finland,64,64,Esbjerg fB,€140K,€2K,LCB
11441,Viti,20,Spain,64,76,Real Oviedo,€800K,€2K,RM
11442,E. Jónsson,29,Iceland,64,64,SønderjyskE,€350K,€3K,RCM
11443,A. Deiola,22,Italy,64,73,Parma,€675K,€6K,CM
11444,Adrián Rocheira,34,Brazil,64,64,Atlético Paranaense,€140K,€3K,CDM
11445,J. Bourdouxhe,27,Belgium,64,64,FC Emmen,€375K,€2K,LB
11446,N. Cameron,26,England,64,67,Macclesfield Town,€475K,€2K,CB
11447,O. Mandanda,19,France,64,79,FC Girondins de Bordeaux,€800K,€2K,GK
11448,P. Madden,28,Republic of Ireland,64,64,Fleetwood Town,€475K,€3K,ST
11449,V. Jalasto,32,Finland,64,64,HJK Helsinki,€250K,€1K,RB
11450,C. Cuesta,19,Colombia,64,79,Atlético Nacional,€875K,€1K,CB
11451,T. Kubo,17,Japan,64,85,Yokohama F. Marinos,€975K,€1K,CAM
11452,B. Toma,19,Switzerland,64,79,FC Sion,€950K,€3K,CDM
11453,E. Doyle,30,Republic of Ireland,64,64,Bradford City,€425K,€3K,ST
11454,J. Nilsson,24,Sweden,64,69,IF Elfsborg,€500K,€1K,LCB
11455,B. Chardonnet,23,France,64,75,Stade Brestois 29,€675K,€2K,CB
11456,D. Konstantopoulos,39,Greece,64,64,Middlesbrough,€30K,€5K,GK
11457,W. Geubbels,16,France,64,86,AS Monaco,€1M,€5K,ST
11458,L. Quezada,22,Dominican Republic,64,76,Córdoba CF,€800K,€2K,LM
11459,R. Sánchez,34,Colombia,64,64,Millonarios FC,€180K,€1K,GK
11460,F. Lanzillotta,25,Argentina,64,68,Argentinos Juniors,€425K,€2K,GK
11461,A. Moreno,22,Chile,64,72,Deportes Iquique,€575K,€1K,RB
11462,Vagnão Junior,26,Brazil,64,64,Ceará Sporting Club,€500K,€5K,ST
11463,C. Greger,21,Germany,64,70,SpVgg Unterhaching,€525K,€1K,LCB
11464,M. Salem,32,Saudi Arabia,64,64,Al Shabab,€260K,€6K,LCB
11465,K. Alphonse,25,Ivory Coast,64,66,CD Feirense,€450K,€2K,CDM
11466,J. Tosik,31,Poland,64,64,Zag??bie Lubin,€300K,€2K,CDM
11467,S. Wharton,20,England,64,76,Lincoln City,€725K,€6K,CB
11468,A. Sigurðsson,19,Iceland,64,81,PFC CSKA Moscow,€975K,€1K,CF
11469,J. Welzmüller,28,Germany,64,64,SpVgg Unterhaching,€375K,€2K,CB
11470,N. Ferraresi,19,Venezuela,64,74,,€ 0,€ 0,CB
11471,O. Kiomourtzoglou,20,Germany,64,74,SpVgg Unterhaching,€650K,€1K,CDM
11472,P. Taylor,30,England,64,64,Doncaster Rovers,€425K,€2K,CAM
11473,P. Keita,26,Senegal,64,67,Waasland-Beveren,€475K,€3K,CDM
11474,M. Leitgeb,30,Austria,64,64,Wolfsberger AC,€325K,€3K,CM
11475,N. Tapia,27,Colombia,64,64,Boyacá Chicó FC,€375K,€1K,LM
11476,T. D'Orazio,28,Italy,64,64,Cosenza,€350K,€1K,LM
11477,I. Marconi,28,Italy,64,65,US Cremonese,€400K,€1K,CB
11478,L. Martínez,31,Mexico,64,64,Tiburones Rojos de Veracruz,€375K,€2K,CM
11479,A. Al Shammari,24,Saudi Arabia,64,70,Al Ittihad,€525K,€6K,CB
11480,T. James,22,Wales,64,70,Yeovil Town,€525K,€2K,RB
11481,B. Vécsei,24,Hungary,64,69,FC Lugano,€600K,€2K,CM
11482,J. Dehm,22,Germany,64,73,Holstein Kiel,€600K,€2K,RB
11483,M. Caufriez,21,Belgium,64,72,Waasland-Beveren,€575K,€2K,CB
11484,C. Rivera,22,Colombia,64,73,Deportivo Cali,€600K,€1K,LDM
11485,D. Gray,30,Scotland,64,64,Hibernian,€325K,€2K,RB
11486,Ricardo Rodrigues,23,Portugal,64,68,CD Aves,€600K,€3K,ST
11487,K. Shirai,24,Japan,64,68,Hokkaido Consadole Sapporo,€600K,€1K,LM
11488,J. Jønsson,25,Denmark,64,69,Atiker Konyaspor,€500K,€4K,LDM
11489,L. López,24,Honduras,64,70,Los Angeles FC,€450K,€1K,GK
11490,G. Prósperi,33,Argentina,64,64,San Martín de San Juan,€170K,€3K,RB
11491,F. Burmeister,28,Germany,64,64,Eintracht Braunschweig,€375K,€2K,CB
11492,K. Yeboah,24,Australia,64,70,SC Fortuna Köln,€625K,€1K,LM
11493,M. Wdowiak,21,Poland,64,72,Cracovia,€675K,€1K,LM
11494,F. Cristaldo,21,Argentina,64,71,San Martín de San Juan,€550K,€3K,CDM
11495,P. Karlsson Lagemyr,21,Sweden,64,70,IFK Göteborg,€625K,€1K,RW
11496,M. Dräger,22,Tunisia,64,74,SC Paderborn 07,€625K,€4K,RB
11497,M. Quiroga,28,Argentina,64,64,Curicó Unido,€475K,€4K,ST
11498,K. Rimane,27,France,64,66,Paris Saint-Germain,€450K,€12K,CB
11499,F. Hurtado,35,Chile,64,64,CD Antofagasta,€110K,€1K,GK
11500,J. Hromada,22,Slovakia,64,72,SK Slavia Praha,€575K,€1K,CDM
11501,R. Brown,22,England,64,68,Forest Green Rovers,€600K,€3K,RM
11502,Iuliano Alfaro,30,Brazil,64,64,Bahia,€425K,€3K,ST
11503,C. Burgess,26,England,64,67,Portsmouth,€475K,€3K,CB
11504,D. Olsen,33,Denmark,64,64,Hobro IK,€270K,€3K,CM
11505,E. Pinnock,25,England,64,71,Barnsley,€525K,€3K,RCB
11506,R. Quiñonez,26,Bolivia,64,67,,€ 0,€ 0,GK
11507,B. Jamieson IV,21,United States,64,74,LA Galaxy,€750K,€2K,ST
11508,D. Payne,22,United States,64,70,Excelsior,€525K,€1K,RB
11509,J. Lillis,31,England,64,64,Rochdale,€270K,€1K,GK
11510,T. Chahed,22,Germany,64,72,1. FC Magdeburg,€675K,€3K,RW
11511,G. Warren,33,England,64,64,Yeovil Town,€180K,€2K,LCB
11512,M. Özy?ld?r?m,23,Turkey,64,72,Kayserispor,€575K,€3K,CB
